    k  sieve==ref  ==bfile  is_good  no good n in 1e6 below
   61       False     True     True                    True
   62       False     True     True                    True
   63       False     True     True                    True
   64       False     True     True                    True
   65       False     True     True                    True
   66       False     True     True                    True
   67       False     True     True                    True
   68       False     True     True                    True
   69       False     True     True                    True
   70       False     True     True                    True
   71       False     True     True                    True
   72       False     True     True                    True
   73       False     True     True                    True
   74       False     True     True                    True
   75       False     True     True                    True
   76       False     True     True                    True
   77       False     True     True                    True
   78       False     True     True                    True
   79       False     True     True                    True
   80       False     True     True                    True
   81       False     True     True                    True
   82       False     True     True                    True
   83       False     True     True                    True
   84       False     True     True                    True
   85       False     True     True                    True
   86       False     True     True                    True
   87       False     True     True                    True
   88       False     True     True                    True
   89       False     True     True                    True
   90       False     True     True                    True
   91       False     True     True                    True
   92       False     True     True                    True
   93       False     True     True                    True
   94       False     True     True                    True
   95       False     True     True                    True
   96       False     True     True                    True
   97       False     True     True                    True
   98       False     True     True                    True
   99       False     True     True                    True
  100       False     True     True                    True
  101       False     True     True                    True
  102       False     True     True                    True
  103       False     True     True                    True
  104       False     True     True                    True
  105       False     True     True                    True
  106       False     True     True                    True
  107       False     True     True                    True
  108       False     True     True                    True
  109       False     True     True                    True
  110       False     True     True                    True
  111       False     True     True                    True
  112       False     True     True                    True
  113       False     True     True                    True
  114       False     True     True                    True
  115       False     True     True                    True
  116       False     True     True                    True
  117       False     True     True                    True
  118       False     True     True                    True
  119       False     True     True                    True
  120       False     True     True                    True
  121       False     True     True                    True
  122       False     True     True                    True
  123       False     True     True                    True
  124       False     True     True                    True
  125       False     True     True                    True
  126       False     True     True                    True
  127       False     True     True                    True
  128       False     True     True                    True
  129       False     True     True                    True
  130       False     True     True                    True
  131       False     True     True                    True
  132       False     True     True                    True
  133       False     True     True                    True
  134       False     True     True                    True
  135       False     True     True                    True
  136       False     True     True                    True
  142        True     True     True                    True
  143        True     True     True                    True
  144        True     True     True                    True
  145        True     True     True                    True
  146        True     True     True                    True
  147        True     True     True                    True
  148        True     True     True                    True
  149        True     True     True                    True
  150        True     True     True                    True
  151        True     True     True                    True
  155        True     True     True                    True
  158        True     True     True                    True
  159        True     True     True                    True
  160        True     True     True                    True
  161        True     True     True                    True

15/91 pass all four checks
FAILURES <<< RED ALERT: [61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136]
